ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075849148::Comments,1075849176::Physical Name,1075850193::Dependent Objects  [read only],1075852278::Extended Notes Order  [read only]
1075838984::2858,S,Valid Value,,S,,S,,
1075838984::2859,M,Valid Value,,M,,M,,
1075838984::2860,F,Valid Value,,F,,F,,
1075838984::2861,M,Valid Value,,M,,M,,
1075838984::2862,2,Valid Value,,2,,2,,
1075838984::2863,1,Valid Value,,1,,1,,
1075838984::2864,P,Valid Value,,P,,P,,
1075838984::2865,S,Valid Value,,S,,S,,
1075838984::2866,W,Valid Value,,W,,W,,
1075838984::2867,P,Valid Value,,P,,P,,
1075838984::2868,S,Valid Value,,S,,S,,
1075838984::2869,W,Valid Value,,W,,W,,
1075839019::38,NULL,Default Value,,NULL,,NULL,,
1075839019::39,USER,Default Value,,USER,,USER,,
1075839019::40,CURRENT_TIMESTAMP,Default Value,,CURRENT_TIMESTAMP,,CURRENT_TIMESTAMP,,
1075839019::41,CURRENT_USER,Default Value,,CURRENT_USER,,CURRENT_USER,,
1075839019::42,SESSION_USER,Default Value,,SESSION_USER,,SESSION_USER,,
1075839019::43,SYSTEM_USER,Default Value,,SYSTEM_USER,,SYSTEM_USER,,
1075839019::538,DF_AWBuildVersion_ModifiedDate,Default Value,,DF_AWBuildVersion_ModifiedDate,,DF_AWBuildVersion_ModifiedDate,DF_AWBuildVersion_ModifiedDate,
1075839019::563,DF_ErrorLog_ErrorTime,Default Value,,DF_ErrorLog_ErrorTime,,DF_ErrorLog_ErrorTime,DF_ErrorLog_ErrorTime,
1075839019::572,DF_Department_ModifiedDate,Default Value,,DF_Department_ModifiedDate,,DF_Department_ModifiedDate,DF_Department_ModifiedDate,
1075839019::604,DF_Employee_SalariedFlag,Default Value,,DF_Employee_SalariedFlag,,DF_Employee_SalariedFlag,DF_Employee_SalariedFlag,
1075839019::608,DF_Employee_VacationHours,Default Value,,DF_Employee_VacationHours,,DF_Employee_VacationHours,DF_Employee_VacationHours,
1075839019::612,DF_Employee_SickLeaveHours,Default Value,,DF_Employee_SickLeaveHours,,DF_Employee_SickLeaveHours,DF_Employee_SickLeaveHours,
1075839019::614,DF_Employee_CurrentFlag,Default Value,,DF_Employee_CurrentFlag,,DF_Employee_CurrentFlag,DF_Employee_CurrentFlag,
1075839019::616,DF_Employee_rowguid,Default Value,,DF_Employee_rowguid,,DF_Employee_rowguid,DF_Employee_rowguid,
1075839019::618,DF_Employee_ModifiedDate,Default Value,,DF_Employee_ModifiedDate,,DF_Employee_ModifiedDate,DF_Employee_ModifiedDate,
1075839019::646,DF_EmployeeDepartmentHistory_ModifiedDate,Default Value,,DF_EmployeeDepartmentHistory_ModifiedDate,,DF_EmployeeDepartmentHistory_ModifiedDate,DF_EmployeeDepartmentHistory_ModifiedDate,
1075839019::671,DF_EmployeePayHistory_ModifiedDate,Default Value,,DF_EmployeePayHistory_ModifiedDate,,DF_EmployeePayHistory_ModifiedDate,DF_EmployeePayHistory_ModifiedDate,
1075839019::681,DF_JobCandidate_ModifiedDate,Default Value,,DF_JobCandidate_ModifiedDate,,DF_JobCandidate_ModifiedDate,DF_JobCandidate_ModifiedDate,
1075839019::696,DF_Shift_ModifiedDate,Default Value,,DF_Shift_ModifiedDate,,DF_Shift_ModifiedDate,DF_Shift_ModifiedDate,
1075839019::717,DF_Address_rowguid,Default Value,,DF_Address_rowguid,,DF_Address_rowguid,DF_Address_rowguid,
1075839019::719,DF_Address_ModifiedDate,Default Value,,DF_Address_ModifiedDate,,DF_Address_ModifiedDate,DF_Address_ModifiedDate,
1075839019::741,DF_AddressType_rowguid,Default Value,,DF_AddressType_rowguid,,DF_AddressType_rowguid,DF_AddressType_rowguid,
1075839019::743,DF_AddressType_ModifiedDate,Default Value,,DF_AddressType_ModifiedDate,,DF_AddressType_ModifiedDate,DF_AddressType_ModifiedDate,
1075839019::757,DF_BusinessEntity_rowguid,Default Value,,DF_BusinessEntity_rowguid,,DF_BusinessEntity_rowguid,DF_BusinessEntity_rowguid,
1075839019::759,DF_BusinessEntity_ModifiedDate,Default Value,,DF_BusinessEntity_ModifiedDate,,DF_BusinessEntity_ModifiedDate,DF_BusinessEntity_ModifiedDate,
1075839019::772,DF_BusinessEntityAddress_rowguid,Default Value,,DF_BusinessEntityAddress_rowguid,,DF_BusinessEntityAddress_rowguid,DF_BusinessEntityAddress_rowguid,
1075839019::774,DF_BusinessEntityAddress_ModifiedDate,Default Value,,DF_BusinessEntityAddress_ModifiedDate,,DF_BusinessEntityAddress_ModifiedDate,DF_BusinessEntityAddress_ModifiedDate,
1075839019::795,DF_BusinessEntityContact_rowguid,Default Value,,DF_BusinessEntityContact_rowguid,,DF_BusinessEntityContact_rowguid,DF_BusinessEntityContact_rowguid,
1075839019::797,DF_BusinessEntityContact_ModifiedDate,Default Value,,DF_BusinessEntityContact_ModifiedDate,,DF_BusinessEntityContact_ModifiedDate,DF_BusinessEntityContact_ModifiedDate,
