ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848986::Value,1075849148::Comments,1075849176::Physical Name,1075850193::Dependent Objects  [read only],1075852278::Extended Notes Order  [read only]
1075839020::596,CK_Employee_BirthDate,Validation Rule,,CK_Employee_BirthDate," BETWEEN '1930-01-01' AND 'dateadd(year,(-18),getdate'",,CK_Employee_BirthDate,CK_Employee_BirthDate,
1075839020::598,CK_Employee_MaritalStatus,Validation Rule,,CK_Employee_MaritalStatus,[]='S' OR []='M',,CK_Employee_MaritalStatus,CK_Employee_MaritalStatus,
1075839020::600,CK_Employee_Gender,Validation Rule,,CK_Employee_Gender,[]='F' OR []='M',,CK_Employee_Gender,CK_Employee_Gender,
1075839020::602,CK_Employee_HireDate,Validation Rule,,CK_Employee_HireDate," BETWEEN '1996-07-01' AND 'dateadd(day,(1),getdate'",,CK_Employee_HireDate,CK_Employee_HireDate,
1075839020::606,CK_Employee_VacationHours,Validation Rule,,CK_Employee_VacationHours, BETWEEN -40 AND 240,,CK_Employee_VacationHours,CK_Employee_VacationHours,
1075839020::610,CK_Employee_SickLeaveHours,Validation Rule,,CK_Employee_SickLeaveHours, BETWEEN 0 AND 120,,CK_Employee_SickLeaveHours,CK_Employee_SickLeaveHours,
1075839020::660,CK_EmployeeDepartmentHistory_EndDate,Validation Rule,,CK_EmployeeDepartmentHistory_EndDate,[EndDate]>=[StartDate] OR [EndDate] IS NULL,,CK_EmployeeDepartmentHistory_EndDate,CK_EmployeeDepartmentHistory_EndDate,
1075839020::667,CK_EmployeePayHistory_Rate,Validation Rule,,CK_EmployeePayHistory_Rate, BETWEEN 6.50 AND 200.00,,CK_EmployeePayHistory_Rate,CK_EmployeePayHistory_Rate,
1075839020::669,CK_EmployeePayHistory_PayFrequency,Validation Rule,,CK_EmployeePayHistory_PayFrequency,[]=2 OR []=1,,CK_EmployeePayHistory_PayFrequency,CK_EmployeePayHistory_PayFrequency,
1075839020::876,CK_Person_PersonType,Validation Rule,,CK_Person_PersonType,[PersonType] IS NULL OR (upper([PersonType])='GC' OR upper([PersonType])='SP' OR upper([PersonType])='EM' OR upper([PersonType])='IN' OR upper([PersonType])='VC' OR upper([PersonType])='SC'),,CK_Person_PersonType,CK_Person_PersonType,
1075839020::880,CK_Person_EmailPromotion,Validation Rule,,CK_Person_EmailPromotion, BETWEEN 0 AND 2,,CK_Person_EmailPromotion,CK_Person_EmailPromotion,
1075839020::965,CK_BillOfMaterials_PerAssemblyQty,Validation Rule,,CK_BillOfMaterials_PerAssemblyQty, >= 1.00,,CK_BillOfMaterials_PerAssemblyQty,CK_BillOfMaterials_PerAssemblyQty,
1075839020::982,CK_BillOfMaterials_EndDate,Validation Rule,,CK_BillOfMaterials_EndDate,[EndDate]>[StartDate] OR [EndDate] IS NULL,,CK_BillOfMaterials_EndDate,CK_BillOfMaterials_EndDate,
1075839020::984,CK_BillOfMaterials_ProductAssemblyID,Validation Rule,,CK_BillOfMaterials_ProductAssemblyID,[ProductAssemblyID]<>[ComponentID],,CK_BillOfMaterials_ProductAssemblyID,CK_BillOfMaterials_ProductAssemblyID,
1075839020::986,CK_BillOfMaterials_BOMLevel,Validation Rule,,CK_BillOfMaterials_BOMLevel,[ProductAssemblyID] IS NULL AND [BOMLevel]=(0) AND [PerAssemblyQty]=(1.00) OR [ProductAssemblyID] IS NOT NULL AND [BOMLevel]>=(1),,CK_BillOfMaterials_BOMLevel,CK_BillOfMaterials_BOMLevel,
1075839020::1017,CK_Document_Status,Validation Rule,,CK_Document_Status, BETWEEN 1 AND 3,,CK_Document_Status,CK_Document_Status,
1075839020::1056,CK_Location_CostRate,Validation Rule,,CK_Location_CostRate, >= 0.00,,CK_Location_CostRate,CK_Location_CostRate,
1075839020::1060,CK_Location_Availability,Validation Rule,,CK_Location_Availability, >= 0.00,,CK_Location_Availability,CK_Location_Availability,
1075839020::1101,CK_Product_SafetyStockLevel,Validation Rule,,CK_Product_SafetyStockLevel,[SafetyStockLevel]>(0),,CK_Product_SafetyStockLevel,CK_Product_SafetyStockLevel,
1075839020::1103,CK_Product_ReorderPoint,Validation Rule,,CK_Product_ReorderPoint,[ReorderPoint]>(0),,CK_Product_ReorderPoint,CK_Product_ReorderPoint,
1075839020::1105,CK_Product_StandardCost,Validation Rule,,CK_Product_StandardCost, >= 0.00,,CK_Product_StandardCost,CK_Product_StandardCost,
1075839020::1107,CK_Product_ListPrice,Validation Rule,,CK_Product_ListPrice, >= 0.00,,CK_Product_ListPrice,CK_Product_ListPrice,
1075839020::1109,CK_Product_Weight,Validation Rule,,CK_Product_Weight,[Weight]>(0.00),,CK_Product_Weight,CK_Product_Weight,
1075839020::1111,CK_Product_DaysToManufacture,Validation Rule,,CK_Product_DaysToManufacture, >= 0,,CK_Product_DaysToManufacture,CK_Product_DaysToManufacture,
1075839020::1113,CK_Product_ProductLine,Validation Rule,,CK_Product_ProductLine,upper([ProductLine])='R' OR upper([ProductLine])='M' OR upper([ProductLine])='T' OR upper([ProductLine])='S' OR [ProductLine] IS NULL,,CK_Product_ProductLine,CK_Product_ProductLine,
1075839020::1115,CK_Product_Class,Validation Rule,,CK_Product_Class,upper([Class])='H' OR upper([Class])='M' OR upper([Class])='L' OR [Class] IS NULL,,CK_Product_Class,CK_Product_Class,
1075839020::1117,CK_Product_Style,Validation Rule,,CK_Product_Style,upper([Style])='U' OR upper([Style])='M' OR upper([Style])='W' OR [Style] IS NULL,,CK_Product_Style,CK_Product_Style,
1075839020::1135,CK_Product_SellEndDate,Validation Rule,,CK_Product_SellEndDate,[SellEndDate]>=[SellStartDate] OR [SellEndDate] IS NULL,,CK_Product_SellEndDate,CK_Product_SellEndDate,
1075839020::1159,CK_ProductCostHistory_StandardCost,Validation Rule,,CK_ProductCostHistory_StandardCost, >= 0.00,,CK_ProductCostHistory_StandardCost,CK_ProductCostHistory_StandardCost,
1075839020::1167,CK_ProductCostHistory_EndDate,Validation Rule,,CK_ProductCostHistory_EndDate,[EndDate]>=[StartDate] OR [EndDate] IS NULL,,CK_ProductCostHistory_EndDate,CK_ProductCostHistory_EndDate,
1075839020::1199,CK_ProductInventory_Shelf,Validation Rule,,CK_ProductInventory_Shelf,[Shelf] like '[A-Za-z]' OR [Shelf]='N/A',,CK_ProductInventory_Shelf,CK_ProductInventory_Shelf,
1075839020::1201,CK_ProductInventory_Bin,Validation Rule,,CK_ProductInventory_Bin, BETWEEN 0 AND 100,,CK_ProductInventory_Bin,CK_ProductInventory_Bin,
1075839020::1218,CK_ProductListPriceHistory_ListPrice,Validation Rule,,CK_ProductListPriceHistory_ListPrice,[ListPrice]>(0.00),,CK_ProductListPriceHistory_ListPrice,CK_ProductListPriceHistory_ListPrice,
1075839020::1226,CK_ProductListPriceHistory_EndDate,Validation Rule,,CK_ProductListPriceHistory_EndDate,[EndDate]>=[StartDate] OR [EndDate] IS NULL,,CK_ProductListPriceHistory_EndDate,CK_ProductListPriceHistory_EndDate,
1075839020::1302,CK_ProductReview_Rating,Validation Rule,,CK_ProductReview_Rating, BETWEEN 1 AND 5,,CK_ProductReview_Rating,CK_ProductReview_Rating,
1075839020::1357,CK_TransactionHistory_TransactionType,Validation Rule,,CK_TransactionHistory_TransactionType,[]='P' OR []='S' OR []='W',,CK_TransactionHistory_TransactionType,CK_TransactionHistory_TransactionType,
1075839020::1384,CK_TransactionHistoryArchive_TransactionType,Validation Rule,,CK_TransactionHistoryArchive_TransactionType,[]='P' OR []='S' OR []='W',,CK_TransactionHistoryArchive_TransactionType,CK_TransactionHistoryArchive_TransactionType,
1075839020::1419,CK_WorkOrder_OrderQty,Validation Rule,,CK_WorkOrder_OrderQty,[OrderQty]>(0),,CK_WorkOrder_OrderQty,CK_WorkOrder_OrderQty,
1075839020::1421,CK_WorkOrder_ScrappedQty,Validation Rule,,CK_WorkOrder_ScrappedQty, >= 0,,CK_WorkOrder_ScrappedQty,CK_WorkOrder_ScrappedQty,
1075839020::1434,CK_WorkOrder_EndDate,Validation Rule,,CK_WorkOrder_EndDate,[EndDate]>=[StartDate] OR [EndDate] IS NULL,,CK_WorkOrder_EndDate,CK_WorkOrder_EndDate,
1075839020::1450,CK_WorkOrderRouting_ActualResourceHrs,Validation Rule,,CK_WorkOrderRouting_ActualResourceHrs, >= 0.0000,,CK_WorkOrderRouting_ActualResourceHrs,CK_WorkOrderRouting_ActualResourceHrs,
1075839020::1452,CK_WorkOrderRouting_PlannedCost,Validation Rule,,CK_WorkOrderRouting_PlannedCost,[PlannedCost]>(0.00),,CK_WorkOrderRouting_PlannedCost,CK_WorkOrderRouting_PlannedCost,
1075839020::1454,CK_WorkOrderRouting_ActualCost,Validation Rule,,CK_WorkOrderRouting_ActualCost,[ActualCost]>(0.00),,CK_WorkOrderRouting_ActualCost,CK_WorkOrderRouting_ActualCost,
1075839020::1466,CK_WorkOrderRouting_ScheduledEndDate,Validation Rule,,CK_WorkOrderRouting_ScheduledEndDate,[ScheduledEndDate]>=[ScheduledStartDate],,CK_WorkOrderRouting_ScheduledEndDate,CK_WorkOrderRouting_ScheduledEndDate,
1075839020::1468,CK_WorkOrderRouting_ActualEndDate,Validation Rule,,CK_WorkOrderRouting_ActualEndDate,[ActualEndDate]>=[ActualStartDate] OR [ActualEndDate] IS NULL OR [ActualStartDate] IS NULL,,CK_WorkOrderRouting_ActualEndDate,CK_WorkOrderRouting_ActualEndDate,
1075839020::1481,CK_ProductVendor_AverageLeadTime,Validation Rule,,CK_ProductVendor_AverageLeadTime, >= 1,,CK_ProductVendor_AverageLeadTime,CK_ProductVendor_AverageLeadTime,
1075839020::1483,CK_ProductVendor_StandardPrice,Validation Rule,,CK_ProductVendor_StandardPrice,[StandardPrice]>(0.00),,CK_ProductVendor_StandardPrice,CK_ProductVendor_StandardPrice,
1075839020::1485,CK_ProductVendor_LastReceiptCost,Validation Rule,,CK_ProductVendor_LastReceiptCost,[LastReceiptCost]>(0.00),,CK_ProductVendor_LastReceiptCost,CK_ProductVendor_LastReceiptCost,
1075839020::1487,CK_ProductVendor_MinOrderQty,Validation Rule,,CK_ProductVendor_MinOrderQty, >= 1,,CK_ProductVendor_MinOrderQty,CK_ProductVendor_MinOrderQty,
1075839020::1489,CK_ProductVendor_MaxOrderQty,Validation Rule,,CK_ProductVendor_MaxOrderQty, >= 1,,CK_ProductVendor_MaxOrderQty,CK_ProductVendor_MaxOrderQty,
1075839020::1491,CK_ProductVendor_OnOrderQty,Validation Rule,,CK_ProductVendor_OnOrderQty, >= 0,,CK_ProductVendor_OnOrderQty,CK_ProductVendor_OnOrderQty,
1075839020::1516,CK_PurchaseOrderDetail_OrderQty,Validation Rule,,CK_PurchaseOrderDetail_OrderQty,[OrderQty]>(0),,CK_PurchaseOrderDetail_OrderQty,CK_PurchaseOrderDetail_OrderQty,
1075839020::1518,CK_PurchaseOrderDetail_UnitPrice,Validation Rule,,CK_PurchaseOrderDetail_UnitPrice, >= 0.00,,CK_PurchaseOrderDetail_UnitPrice,CK_PurchaseOrderDetail_UnitPrice,
1075839020::1520,CK_PurchaseOrderDetail_ReceivedQty,Validation Rule,,CK_PurchaseOrderDetail_ReceivedQty, >= 0.00,,CK_PurchaseOrderDetail_ReceivedQty,CK_PurchaseOrderDetail_ReceivedQty,
1075839020::1522,CK_PurchaseOrderDetail_RejectedQty,Validation Rule,,CK_PurchaseOrderDetail_RejectedQty, >= 0.00,,CK_PurchaseOrderDetail_RejectedQty,CK_PurchaseOrderDetail_RejectedQty,
1075839020::1550,CK_PurchaseOrderHeader_Status,Validation Rule,,CK_PurchaseOrderHeader_Status, BETWEEN 1 AND 4,,CK_PurchaseOrderHeader_Status,CK_PurchaseOrderHeader_Status,
1075839020::1556,CK_PurchaseOrderHeader_SubTotal,Validation Rule,,CK_PurchaseOrderHeader_SubTotal, >= 0.00,,CK_PurchaseOrderHeader_SubTotal,CK_PurchaseOrderHeader_SubTotal,
1075839020::1560,CK_PurchaseOrderHeader_TaxAmt,Validation Rule,,CK_PurchaseOrderHeader_TaxAmt, >= 0.00,,CK_PurchaseOrderHeader_TaxAmt,CK_PurchaseOrderHeader_TaxAmt,
1075839020::1564,CK_PurchaseOrderHeader_Freight,Validation Rule,,CK_PurchaseOrderHeader_Freight, >= 0.00,,CK_PurchaseOrderHeader_Freight,CK_PurchaseOrderHeader_Freight,
1075839020::1579,CK_PurchaseOrderHeader_ShipDate,Validation Rule,,CK_PurchaseOrderHeader_ShipDate,[ShipDate]>=[OrderDate] OR [ShipDate] IS NULL,,CK_PurchaseOrderHeader_ShipDate,CK_PurchaseOrderHeader_ShipDate,
1075839020::1588,CK_ShipMethod_ShipBase,Validation Rule,,CK_ShipMethod_ShipBase,[ShipBase]>(0.00),,CK_ShipMethod_ShipBase,CK_ShipMethod_ShipBase,
1075839020::1592,CK_ShipMethod_ShipRate,Validation Rule,,CK_ShipMethod_ShipRate,[ShipRate]>(0.00),,CK_ShipMethod_ShipRate,CK_ShipMethod_ShipRate,
1075839020::1617,CK_Vendor_CreditRating,Validation Rule,,CK_Vendor_CreditRating, BETWEEN 1 AND 5,,CK_Vendor_CreditRating,CK_Vendor_CreditRating,
1075839020::1729,CK_SalesOrderDetail_OrderQty,Validation Rule,,CK_SalesOrderDetail_OrderQty,[OrderQty]>(0),,CK_SalesOrderDetail_OrderQty,CK_SalesOrderDetail_OrderQty,
1075839020::1731,CK_SalesOrderDetail_UnitPrice,Validation Rule,,CK_SalesOrderDetail_UnitPrice, >= 0.00,,CK_SalesOrderDetail_UnitPrice,CK_SalesOrderDetail_UnitPrice,
