ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848986::Value,1075849148::Comments,1075849172::Physical Only,1075849176::Physical Name,1075849712::Generate SQL 92 Format,1075849713::Is Detach,1075849717::Is Supplied,1075849718::System Generated,1075850193::Dependent Objects  [read only],1075850737::Schema,1075852160::Generate Using Bind,1075852278::Extended Notes Order  [read only]
"1075839019::38","NULL",Default Value,"","NULL","NULL","","true","NULL","","","","","","","",""
"1075839019::39","USER",Default Value,"","USER","USER","","true","USER","","","","","","","",""
"1075839019::40","CURRENT_TIMESTAMP",Default Value,"","CURRENT_TIMESTAMP","CURRENT_TIMESTAMP","","true","CURRENT_TIMESTAMP","","","","","","","",""
"1075839019::41","CURRENT_USER",Default Value,"","CURRENT_USER","CURRENT_USER","","true","CURRENT_USER","","","","","","","",""
"1075839019::42","SESSION_USER",Default Value,"","SESSION_USER","SESSION_USER","","true","SESSION_USER","","","","","","","",""
"1075839019::43","SYSTEM_USER",Default Value,"","SYSTEM_USER","SYSTEM_USER","","true","SYSTEM_USER","","","","","","","",""
"1075839019::560","DF_Sales_BuyingGroups_BuyingGroupID",Default Value,"","DF_Sales_BuyingGroups_BuyingGroupID","NEXT VALUE FOR [Sequences].[BuyingGroupID]","","","DF_Sales_BuyingGroups_BuyingGroupID","","","","","DF_Sales_BuyingGroups_BuyingGroupID","Sales","false",""
"1075839019::586","DF_Application_Cities_CityID",Default Value,"","DF_Application_Cities_CityID","NEXT VALUE FOR [Sequences].[CityID]","","","DF_Application_Cities_CityID","","","","","DF_Application_Cities_CityID","Application","false",""
"1075839019::632","DF_Warehouse_Colors_ColorID",Default Value,"","DF_Warehouse_Colors_ColorID","NEXT VALUE FOR [Sequences].[ColorID]","","","DF_Warehouse_Colors_ColorID","","","","","DF_Warehouse_Colors_ColorID","Warehouse","false",""
"1075839019::664","DF_Application_Countries_CountryID",Default Value,"","DF_Application_Countries_CountryID","NEXT VALUE FOR [Sequences].[CountryID]","","","DF_Application_Countries_CountryID","","","","","DF_Application_Countries_CountryID","Application","false",""
"1075839019::699","DF_Sales_CustomerCategories_CustomerCategoryID",Default Value,"","DF_Sales_CustomerCategories_CustomerCategoryID","NEXT VALUE FOR [Sequences].[CustomerCategoryID]","","","DF_Sales_CustomerCategories_CustomerCategoryID","","","","","DF_Sales_CustomerCategories_CustomerCategoryID","Sales","false",""
